Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude,City
Burgers,"1200 Hwy 7 W
Vaughan, ON L4K",Bavarian Burger,(905) 771-1551,,,https://www.yelp.ca/biz/bavarian-burger-vaughan,43.811414,-79.481622,Vaughan
Burgers,"21 Colossus Dr
Vaughan, ON L4L 9J8",Shoeless Joe’s Sports Grill - Vaughan,,$11-30,shoelessjoes.ca,https://www.yelp.ca/biz/shoeless-joes-sports-grill-vaughan-vaughan,43.786244,-79.544267,Vaughan
Burgers,"1520 Steeles Avenue W
Vaughan, ON L4K 3B9",Wimpy’s Diner,(905) 597-4782,,wimpysdiner.ca,https://www.yelp.ca/biz/wimpys-diner-vaughan,43.787875,-79.471229,Vaughan
Burgers,"1520 Steeles Avemue W
Vaughan, ON L4K 3B9",Diablo’s Burger,(226) 808-8382,,,https://www.yelp.ca/biz/diablos-burger-vaughan,43.788294,-79.471647,Vaughan
Burgers,"4535 Highway 7
Vaughan, ON L4L 1S6",McDonald’s,(905) 851-7405,Under $10,mcdonalds.com/ca,https://www.yelp.ca/biz/mcdonalds-vaughan-3,43.783477,-79.574063,Vaughan
Burgers,"7560 Weston Road
Vaughan, ON L4L 6C5",Burger King,(905) 264-8994,,locations.burgerking.ca,https://www.yelp.ca/biz/burger-king-vaughan-8,43.786657,-79.547314,Vaughan
Burgers,"3320 Steeles Avenue W
Vaughan, ON L4K 1A2",McDonald’s,(905) 760-9900,Under $10,mcdonalds.com/ca/en-ca,https://www.yelp.ca/biz/mcdonalds-vaughan-6,43.774023,-79.530911,Vaughan
Burgers,"1600 Highway 7
Vaughan, ON L4K 4J8",McDonald’s,(905) 660-2668,Under $10,mcdonalds.ca/ca/en.html,https://www.yelp.ca/biz/mcdonalds-vaughan-4,43.806966,-79.483143,Vaughan
Burgers,"705 Applewood Crescent
Vaughan, ON L4L 5J8",Botticelli Ristorante Bar & Grill,(905) 532-2205,,botticellirestaurant.com,https://www.yelp.ca/biz/botticelli-ristorante-bar-and-grill-vaughan-2,43.796568,-79.53659,Vaughan
Burgers,"7235 Keele Street
Vaughan, ON L4K 5W5",Wendy’s,(905) 738-2277,,wendys.com,https://www.yelp.ca/biz/wendys-vaughan-8,43.788636,-79.495789,Vaughan
Burgers,"4114 Highway 7 W
Vaughan, ON L4L 1A6",Wendy’s,(905) 850-0961,Under $10,wendys.com,https://www.yelp.ca/biz/wendys-vaughan-5,43.785584,-79.566709,Vaughan
Cafes,"1 Promenade Circle
Unit M115
Vaughan, ON L4J 4P8",Centro Cafe,(905) 597-3636,,,https://www.yelp.ca/biz/centro-cafe-vaughan,43.809849,-79.450957,Vaughan
Cafes,"9000 Weston Road
Suite 1
Vaughan, ON L4L 1A6",Vici Bakery & Cafe,(905) 264-2455,,,https://www.yelp.ca/biz/vici-bakery-and-cafe-vaughan,43.821237,-79.55595,Vaughan
Cafes,"4610 Highway 7
Vaughan, ON L4L 7B9",Remo’s bistro and cafe,(905) 265-7557,,,https://www.yelp.ca/biz/remos-bistro-and-cafe-vaughan,43.783814,-79.576054,Vaughan
Cafes,"345 Millway Avenue
Vaughan, ON L4K 4T3",La Molisana Cafe,(905) 669-2062,,lamolisanacafe.ca,https://www.yelp.ca/biz/la-molisana-cafe-vaughan-2,43.803113,-79.529216,Vaughan
Cafes,"4000 Steeles Avenue W
Unit 16
Vaughan, ON L4L 4V9",La Empanada Cafe,(905) 605-1810,,laempanadacafe.ca,https://www.yelp.ca/biz/la-empanada-cafe-vaughan,43.769476,-79.55213,Vaughan
Cafes,"7600 Weston Road
Vaughan, ON L4L 8B7",Aroma Espresso Bar,(905) 856-9984,,aroma.ca,https://www.yelp.ca/biz/aroma-espresso-bar-vaughan-8,43.787477,-79.54928,Vaughan
Cafes,"7700 Pine Valley Drive
Suite 2A
Vaughan, ON L4L 2X4",Capo Café,(905) 264-0157,$11-30,capocafe.business.site,https://www.yelp.ca/biz/capo-caf%C3%A9-vaughan,43.782761,-79.573927,Vaughan
Cafes,"15 Connie Crescent
Unit 27
Vaughan, ON L4K 1L3",Cafe Louise BakeHouse,(647) 834-3100,,cafelouise.ca,https://www.yelp.ca/biz/cafe-louise-bakehouse-vaughan,43.820139,-79.494567,Vaughan
Cafes,"7398 Yonge Street
Vaughan, ON L4J",Yazdi Pastry,(647) 847-2044,,,https://www.yelp.ca/biz/yazdi-pastry-vaughan,43.809376,-79.423119,Vaughan
Cafes,"7600 Weston Rd
Vaughan, ON L4L 9L9",Spin Dessert Cafe Vaughan,(905) 851-3633,$11-30,spindessertscafe.com,https://www.yelp.ca/biz/spin-dessert-cafe-vaughan-vaughan,43.788462,-79.548156,Vaughan
Cafes,"Baldwin Ave.
Vaughan, ON L4K",Jimmy’s Coffee,,,,https://www.yelp.ca/biz/jimmys-coffee-vaughan,43.802327,-79.490476,Vaughan
Cafes,"830 Rowntree Dairy Road
Vaughan, ON L4L 5V2",Pine Valley Sport Cafe,(905) 851-6397,,,https://www.yelp.ca/biz/pine-valley-sport-cafe-vaughan-3,43.779863,-79.570713,Vaughan
Cafes,"14 Connie Crescent
Vaughan, ON L4K 2W8",Executive Cafe,(905) 738-4948,,,https://www.yelp.ca/biz/executive-cafe-vaughan-2,43.821021,-79.489542,Vaughan
Cafes,"4140 Steeles Avenue W
Vaughan, ON L4L 4V3",San Francisco Cafe,(905) 851-1233,,,https://www.yelp.ca/biz/san-francisco-cafe-vaughan-2,43.768862,-79.556843,Vaughan
Cafes,"4515 Highway 7 W
Vaughan, ON L4L 1S6",Tim Hortons,(905) 851-8904,Under $10,timhortons.com,https://www.yelp.ca/biz/tim-hortons-vaughan-30,43.783451,-79.573547,Vaughan
Cafes,"3764 Highway 7 W
Vaughan, ON L4L 1A6",Tim Hortons,(905) 850-4038,,timhortons.com,https://www.yelp.ca/biz/tim-hortons-vaughan-37,43.789591,-79.548404,Vaughan
Canadian (New),"200 Bass Pro Mills Drive
Vaughan, ON L4K 0B9",Trio Restaurant & Lounge,(905) 695-1735,$11-30,novotel.com/gb/hotel-7157-nov…,https://www.yelp.ca/biz/trio-restaurant-and-lounge-vaughan,43.821713,-79.538922,Vaughan
Canadian (New),"10 Strada Drive
Vaughan, ON L4L 5V2",Pit Stop,(905) 851-1514,,,https://www.yelp.ca/biz/pit-stop-vaughan,43.780575,-79.570841,Vaughan
Canadian (New),"3300 Steeles Avenue W
Vaughan, ON L4K 2Y4",Angelo’s Homestyle Restaurant,(905) 669-4884,,angeloshomestyle.com,https://www.yelp.ca/biz/angelos-homestyle-restaurant-vaughan,43.774724,-79.52949,Vaughan
Canadian (New),"3900 Highway 7
Vaughan, ON L4L 1A6",Milestones Restaurants,(905) 850-1580,$11-30,milestonesrestaurants.com,https://www.yelp.ca/biz/milestones-restaurants-vaughan,43.789995,-79.552934,Vaughan
Canadian (New),"5100 Rutherford Road
Unit 13
Vaughan, ON L4L 8Y2",Kookoos Kitchen,(905) 893-9153,$11-30,captainkookoo.com,https://www.yelp.ca/biz/kookoos-kitchen-vaughan-2,43.816872,-79.601231,Vaughan
Canadian (New),"3330 Steeles Avenue W
Vaughan, ON L4K 3C4",Teriyaki Experience,(905) 761-9882,Under $10,teriyakiexperience.com/en/hom…,https://www.yelp.ca/biz/teriyaki-experience-vaughan,43.773944,-79.531602,Vaughan
Canadian (New),"30 Colossus Drive
Unit B
Vaughan, ON L4L 0B7",Moxie’s Grill & Bar,(905) 265-8090,$11-30,moxies.ca,https://www.yelp.ca/biz/moxies-grill-and-bar-vaughan,43.787151,-79.543407,Vaughan
Canadian (New),"3232 Steeles Avenue W
Unit 5
Vaughan, ON L4K 4C8",Home Base Bar And Grill,(647) 479-5829,,homebasebarandgrill.com,https://www.yelp.ca/biz/home-base-bar-and-grill-vaughan,43.775101,-79.526259,Vaughan
Canadian (New),"10 Colossus Drive
Vaughan, ON L4L 9J5",Jack Astor’s Bar & Grill,(905) 264-3790,$11-30,jackastors.com,https://www.yelp.ca/biz/jack-astors-bar-and-grill-vaughan-2,43.786808,-79.544865,Vaughan
Canadian (New),"3700 Steeles Avenue W
Vaughan, ON L4L 8K8",Midan Restaurant,(905) 856-9774,,,https://www.yelp.ca/biz/midan-restaurant-vaughan-2,43.77175,-79.542707,Vaughan
Canadian (New),"7540 Weston Rd
Vaughan, ON L4L 9L9",Sunset Grill,(905) 264-3773,$11-30,sunsetgrill.ca,https://www.yelp.ca/biz/sunset-grill-vaughan-4,43.786037,-79.547704,Vaughan
Canadian (New),"AMC Plaza
70 Interchange Way
Vaughan, ON L4K 5C3",Entertainment Central,(905) 738-6001,,entertainmentcentralinc.com,https://www.yelp.ca/biz/entertainment-central-vaughan,43.789154,-79.527343,Vaughan
Canadian (New),"145 Haist Avenue
Vaughan, ON L4L 5V1",Timmy’s The Grill,(905) 264-6060,,,https://www.yelp.ca/biz/timmys-the-grill-vaughan-2,43.779048,-79.569163,Vaughan
Caribbean,"3255 Rutherford Road
Unit 28
Vaughan, ON L4K 5Y5",Miami Beach Grill,(905) 597-7313,$11-30,miamibeachgrill.ca,https://www.yelp.ca/adredir?ad_business_id=a4muB73PIarVnXc8RQongA&campaign_id=UaN5We83QwriCSY-Q-SkNA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fmiami-beach-grill-vaughan&request_id=e2a97a720a8c21c5&signature=e46a542b6117b21b42ffc1cdf1a77a758eb0738badddf00ccb66adf0f4e4fc44&slot=0,43.828561,-79.541024,Vaughan
Caribbean,"3255 Rutherford Road
Unit 28
Vaughan, ON L4K 5Y5",Miami Beach Grill,(905) 597-7313,$11-30,miamibeachgrill.ca,https://www.yelp.ca/adredir?ad_business_id=a4muB73PIarVnXc8RQongA&campaign_id=UaN5We83QwriCSY-Q-SkNA&click_origin=search_results&placement=below_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fmiami-beach-grill-vaughan&request_id=ee0ccd5715046c85&signature=fb516e963e1178fbf1a332f717956e1b7271c3a00c5714a261d34b51a8a38c86&slot=0,43.828561,-79.541024,Vaughan
Caribbean,"3255 Rutherford Road
Unit 28
Vaughan, ON L4K 5Y5",Miami Beach Grill,(905) 597-7313,$11-30,miamibeachgrill.ca,https://www.yelp.ca/adredir?ad_business_id=a4muB73PIarVnXc8RQongA&campaign_id=UaN5We83QwriCSY-Q-SkNA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fmiami-beach-grill-vaughan&request_id=d59e26a7803d538a&signature=b5a56799cde968b6cea06c0e15b3808d2971fd8412781b3349017c7132495ba8&slot=1,43.828561,-79.541024,Vaughan
Caribbean,"3255 Rutherford Road
Unit 28
Vaughan, ON L4K 5Y5",Miami Beach Grill,(905) 597-7313,$11-30,miamibeachgrill.ca,https://www.yelp.ca/adredir?ad_business_id=a4muB73PIarVnXc8RQongA&campaign_id=UaN5We83QwriCSY-Q-SkNA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fmiami-beach-grill-vaughan&request_id=3137bbfc17417a06&signature=c8728148fe9d694e0e12ad5d6b1a1951064d5d9cd2e3e61f12dbb6d2c7c9b59d&slot=1,43.828561,-79.541024,Vaughan
Caribbean,"1520 Steeles Avenue W
Unit 115
Vaughan, ON L4K 3B9",De Kings Caribbean Restaurant,(905) 660-2211,$11-30,dekingscaribbeanrestaurant.com,https://www.yelp.ca/biz/de-kings-caribbean-restaurant-vaughan,43.78798,-79.471618,Vaughan
Caribbean,"3255 Rutherford Road
Unit 28
Vaughan, ON L4K 5Y5",Miami Beach Grill,(905) 597-7313,$11-30,miamibeachgrill.ca,https://www.yelp.ca/adredir?ad_business_id=a4muB73PIarVnXc8RQongA&campaign_id=UaN5We83QwriCSY-Q-SkNA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fmiami-beach-grill-vaughan&request_id=eaad0bab723fdab9&signature=7004f03611f142fff21f444ec9a9617260290685e5cc08dc420a9908f417d6e0&slot=1,43.828561,-79.541024,Vaughan
Caribbean,"3255 Rutherford Road
Unit 28
Vaughan, ON L4K 5Y5",Miami Beach Grill,(905) 597-7313,$11-30,miamibeachgrill.ca,https://www.yelp.ca/adredir?ad_business_id=a4muB73PIarVnXc8RQongA&campaign_id=UaN5We83QwriCSY-Q-SkNA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fmiami-beach-grill-vaughan&request_id=29a4e7026c37a043&signature=1271bff2ed9742de71b9deb653f50aee627df99722b1517bd4f8842a7b551114&slot=1,43.828561,-79.541024,Vaughan
Caribbean,"20 Rivermede Road
Unit 4
Vaughan, ON L4K 3N3",Nina’s Tropical Island,(905) 669-8301,Under $10,Ninascaribbeanrestaurant.com,https://www.yelp.ca/biz/ninas-tropical-island-vaughan,43.811607,-79.481711,Vaughan
Caribbean,"7007 Islington Avenue
Unit 16
Vaughan, ON L4L 4T5",Verses Restaurant,(905) 265-7767,,,https://www.yelp.ca/biz/verses-restaurant-vaughan-2,43.764415,-79.574797,Vaughan
Caribbean,"3200 Steeles Avenue W
Vaughan, ON L4K 2Y2",Enmore Nanking Restaurant,(905) 660-9777,Under $10,,https://www.yelp.ca/biz/enmore-nanking-restaurant-vaughan,43.774601,-79.525664,Vaughan
Caribbean,"100 Porter Avenue
Vaughan, ON L4L",CariVaughan,(289) 236-4343,,carivaughan.com,https://www.yelp.ca/biz/carivaughan-vaughan,43.787683,-79.59726,Vaughan
Chicken Shop,"1450 Clark Avenue W
Unit 26A
Vaughan, ON L4J 7R5",Oppadak Toronto,(416) 732-7989,,,https://www.yelp.ca/biz/oppadak-toronto-vaughan,43.798451,-79.470957,Vaughan
Chicken Shop,"3255 Rutherford Road
Unit 28
Vaughan, ON L4K 5Y5",Miami Beach Grill,(905) 597-7313,$11-30,miamibeachgrill.ca,https://www.yelp.ca/adredir?ad_business_id=a4muB73PIarVnXc8RQongA&campaign_id=UaN5We83QwriCSY-Q-SkNA&click_origin=search_results&placement=below_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fmiami-beach-grill-vaughan&request_id=ac8d38ef0b6175f4&signature=200c03a5a9b4fa9d71ceb34e1e56bf7ae5d2e08b4319dcfb925365b87f486ee7&slot=0,43.828561,-79.541024,Vaughan
Chicken Wings,"7600 Weston Road
Vaughan, ON L4L 8B7",The Wingery,(905) 265-9464,$11-30,,https://www.yelp.ca/biz/the-wingery-vaughan,43.789247,-79.547422,Vaughan
Chicken Wings,"90 Edgeley Blvd
Unit 106
Vaughan, ON L4K 5W7",St. Louis Bar & Grill,(905) 660-4999,$11-30,stlouiswings.com,https://www.yelp.ca/biz/st-louis-bar-and-grill-vaughan,43.796641,-79.533099,Vaughan
